Name,Handle, Followers ,Description,Type
Barack Obama,BarackObama,88800000,President,Celebrity
CNN Breaking News,cnnbrk,50100000,"Breaking news from reporters and editors on the CNN Digital news team. Now 50M strong. Check @cnn for all things CNN, breaking and more.",News Outlet
Bill Gates,BillGates,34900000,Sharing things I'm learning through my foundation work and other interests_,Celebrity
Donald Trump,realDonaldTrump,30700000,Celebrity,Celebrity
The Economist,TheEconomist,20800000,News and analysis with a global perspective. Subscribe here: http://econ.st/2eqtp7o ,News Outlet
Jim Cramer,jimcramer,1002000,Jim Cramer (@jimcrammer) The host of CNBCês Mad Money and author of several books including his new one –Get Rich Carefully”. Jim Crammer tweets and answers questions frequently. ,Thought Leader
Hillary Clinton,HillaryClinton,15500000,Celebrity,Celebrity
Tech Crunch,TechCrunch,9140000,"Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech. Got a tip? Let us know tips@techcrunch.com",News Outlet
Elon Musk,elonmusk,8840000,"Tesla, SpaceX, OpenAI & Neuralink",Celebrity
The New Yorker,NewYorker,7700000,"The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",News Outlet
Mark Cuban,mcuban,7040000,Tech investor,Celebrity
Seeking Alpha,SeekingAlpha,101000,"Contributor articles from Seeking Alpha, #1 in crowdsourced equity research.",Thought Leader
MarketWatch,MarketWatch,3390000,"News, personal finance & commentary from MarketWatch. Tweets by @SAFmedia, @jessmarmor, @slangwise.",News Outlet
CNBC,CNBC,2660000,First in Business Worldwide,News Outlet
Forbes,Forbes,12900000,Forbes,News Outlet
Chris Sacca,sacca,1820000,I love @crystale. Sometimes on @ABCSharkTank. Early investor: @Twitter @Uber @Twilio @Instagram. Now working to give back. http://lowercasecapital.com/,Celebrity
Markets Insider,MktsInsider,7000,Business Insider meets markets data. Markets Insider provides everything you need to know about the markets.,News Outlet
Forbes Investing,ForbesInvestor,40300,"Investing ideas and insights from @forbes, a name you trust.",News Outlet
The Motley Fool,themotleyfool,673000,Helping the world invest - better.,News Outlet
Downtown Josh Brown,ReformedBroker,663000,"Chairman of the Twitter Federal Reserve, star of CNBC's The Halftime Report, CEO of Ritholtz Wealth Management
",Thought Leader
StockTwits,StockTwits,556000,Join the largest social network of investors and traders working together to beat the markets. Always free. Get our iOS or Android app: http://onelink.to/8h5j9e ,News Outlet
Prof. Steve Hanke,steve_hanke,49200,Applied Economist @JohnsHopkins | Sr. Fellow & Director #TroubledCurrencies Project @CatoInstitute | @Forbes | FX & Commodities Trader | Reagan White House Alum,Thought Leader
Entity: Money,MONEY,364000,"Smart ideas for how to invest sensibly, plan wisely, and spend smartly from the editors and writers of MONEY",News Outlet
Reuters Insider,ReutersInsider,71500,"Reuters Insider is a multimedia platform that is changing the landscape of how financial professionals do business. To find out more, visit:",News Outlet
Barron's,barronsonline,105000,"The world's premier investing publication since 1921. Bary, Epstein, Forsyth, Hough, Kahn, Ray, Sears and more. Follow our Asia team @barronsasia.",News Outlet
zerohedge,zerohedge,416000,"You will find great insights on political, economical, and financial news. ZeroHedge tweets constantly to keep you up to date with worldwide financial. ",Thought Leader
Tadas Viskanta,abnormalreturns,58000,"Financial Educator, Author and Editor of Abnormal Returns.",Thought Leader
WSJ MoneyBeat,WSJMoneyBeat,179000,"Wall Street Journal analysis of M&A, bankruptcy, private equity and the markets",News Outlet
Financial Times,FinancialTimes,5710000,"International. Headlines from the FT. Follow us on @FT for news stories, features and updates. Our customer service team is @FTcare.",News Outlet
Bloomberg Markets,markets,339000,Breaking news and analysis on global financial markets,Thought Leader
